Qty,Value,Device,Package,Parts,Description,Digikey Part Number
1,,HT16K33_SOP28,SOP28_300MIL,U1,,
1,,DIPSWITCH_2PIN,DIPSWITCH_2PIN,SW2,DIP Switch - 2 Pin,732-6955-1-ND
1,,JST_2PIN-SMT-RA,JST-PH-2-SMT-RA,CN1,JST 2-Pin Connectors of various flavors,455-1749-1-ND
1,,MICRO-USB_ORIG,DX4R005HJ5,X1,SMD micro USB connector,670-2674-1-ND
1,0.1uf,C-USC0805K,C0805K,C1,"CAPACITOR, American symbol",732-8026-1-ND
1,100k,R-US_M0805,M0805,R17,"RESISTOR, American symbol",311-100KCRCT-ND
7,10k,R-US_M0805,M0805,"R13, R18, R19, R20, R21, R22, R23","RESISTOR, American symbol",A126332CT-ND
4,10uf,C-USC0805K,C0805K,"C2, C3, C4, C5","CAPACITOR, American symbol",732-7620-1-ND
3,1N4148,DIODESOD-523,SOD-523,"D1, D2, D3",Diode,1N4148XTPMSCT-ND
3,1k,R-US_M0805,M0805,"R12, R14, R15","RESISTOR, American symbol",A106056CT-ND
1,2k,R-US_M0805,M0805,R16,"RESISTOR, American symbol",311-2.00KCRCT-ND
1,4.7uH,TYS60204R7N-10,TYS60204R7N-10,L1,INDUCTOR,240-2724-1-ND
11,47k,R-US_M0805,M0805,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","RESISTOR, American symbol",311-47.0KCRCT-ND
1,BLUE,LED3MM,LED3MM,LED5,LED,732-5011-ND
2,BSS138,MOSFET-NREFLOW,SOT23-R,"Q1, Q2",N-Channel Mosfet,BSS138-FDICT-ND
1,CUS-12TB,SWITCH_SPST,SPST_SMT_19192,SW1,Switch - SPST,563-1102-1-ND
1,GREEN,LED3MM,LED3MM,LED4,LED,732-5012-ND
2,LTP-3784E,LTP-3784E,TLP-3784E,"XLED1, XLED2",Starburst Display x2,160-1010-ND
1,MCP1642B,MCP1642B,MSOP8,U2,MCP1642B,MCP1642B-50I/MS-ND
1,MCP73871,MCP73871,QFN20_4MM,U3,MCP73871 Lithium Polymer Battery Charger,MCP73871-2AAI/ML-ND
1,PIZEROW,PIZEROW,RASP_PI_ZERO_BOARD_FULL,PI1,40pin Header,609-4925-ND
3,RED,LED3MM,LED3MM,"LED1, LED2, LED3",LED,732-5013-ND
16,TL3305,TL3305,TL3305,"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16",Switch (5mm board height),EG5354CT-ND
1,3.7v @ 2AH,LIPO,JST-PH-2,,3.7V Lithium-Ion Battery Rechargeable (Secondary) 2Ah,1528-1857-ND
